"Group.1" "Group.2" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-meanFreq()" "subject" "activity_desc" "activity_id"
1 1 0.277330758736842 -0.0239198433606579 -0.0918747569125263 -0.242047730157895 -0.235184802052 0.103464762 0.25687592161932 0.390394398684211 0.0992384038214286 -0.269857892413043 -0.577529301382979 -0.836448375010638 0.00759484333015873 -0.0958813052763158 -0.123111607106757 -0.1675636275125 -0.162086915696104 -0.237678404620548 -0.0265390167589855 -0.0479464611567164 -0.103960492896104 -0.177092089350667 -0.146329651085417 -0.175142501681481 -0.109020120944595 -0.101609760415152 -0.110459731308642 -0.189154765957746 -0.165151277412195 -0.232041527278049 -0.0393349624680263 -0.10373895495 -0.0384086556072464 -0.0126894962648649 -0.0997446849867647 0.0113457773027397 -0.0721566418597222 -0.0613072239285714 -0.131564249217391 -0.121311599171053 -0.171513358277917 -0.101135565133333 -0.150658869561644 -0.0854102688485897 -0.124904231925333 -0.0978857887972603 -0.344564571678049 -0.245474354685714 -0.190740513963158 -0.740966626115789 -0.756165927568421 -0.764108792765957 -0.755928689204301 -0.738315461255319 -0.773616802489362 -0.383422248226582 -0.415352378096386 -0.267978862175 -0.752990573410526 -0.739916654180851 -0.704198337789474 -0.74071663051579 -0.747792007157895 -0.743591999361702 -0.471684084593407 -0.474875776288889 -0.493644612873563 -0.802906777652632 -0.817032560101053 -0.730233032795699 -0.695060294139785 -0.647160580388889 -0.479337949752381 -0.390299167349351 -0.294450642572941 -0.313172823049398 -0.32529685814557 -0.272965864525641 -0.298727708801205 1 "WALKING" 1
2 1 0.276426586440678 -0.0229902247619608 -0.0898730930016949 -0.378833960762712 -0.165210482979167 -0.292347959362712 0.348873455622857 0.39193906540625 0.0486848184358974 -0.0989852031388889 -0.352032352770833 -0.693411244611111 -0.0289575828648649 -0.02730742284 0.0742957721038461 -0.0252653430652174 -0.0971123156 -0.0745225728285714 0.0193939730710811 0.0544239813542857 -0.0182927804102326 -0.0372428659583333 -0.0621886699138462 -0.163429191043478 0.000665296073170735 0.0113264632512821 -0.0263268188148936 -0.124371355266667 -0.125839069291304 -0.18532976227907 -0.144322843004651 -0.145391673040816 -0.125381344669565 -0.12611046 -0.127684789455556 -0.0631733102756098 -0.195644776119512 -0.151469350645833 -0.238345025348837 -0.192580035223256 -0.170235028346939 -0.182589620212045 -0.131146304518 -0.21329788556 -0.205529429350943 -0.239182575298039 -0.221460915380952 -0.216424940148936 -0.292931120186047 -0.80400002532931 -0.744148193322034 -0.757822284385965 -0.666819118448276 -0.610330727964286 -0.585502279678571 -0.256093958880952 -0.191041088590909 -0.13354762078 -0.810382225172414 -0.790609661896552 -0.748577557457627 -0.744791366440678 -0.665271361551724 -0.654748904210526 -0.268806301960784 -0.448492214744681 -0.358047859777778 -0.840906048983051 -0.837618109152542 -0.681724922264151 -0.556619489387755 -0.38550051627451 -0.278748432366667 -0.34613025025 -0.239527594433962 -0.474593952066667 -0.480275576574468 -0.360150339854167 -0.471427758061224 2 "WALKING" 1
3 1 0.275567462068966 -0.0251995499844444 -0.087689322897931 -0.304019171706897 -0.168697467396 -0.281151804079245 0.475042852894737 0.205057993695652 -0.456469905654545 -0.680793479431035 -0.855829913448276 -0.921796490517241 -0.187098043764706 -0.216758969528 -0.297384487030189 -0.347864052009615 -0.350152725075472 -0.405849117485769 -0.152474121566667 -0.2030647697 -0.371233169 -0.392766721563636 -0.480922103566038 -0.476565751678571 -0.306475151529423 -0.355188609561818 -0.415970366139623 -0.427837866810526 -0.490247475666667 -0.532075018769231 -0.122418384065957 -0.212226873780392 -0.231319992206818 -0.190195605002083 -0.0128030401705882 -0.187318644769767 -0.0692271376923077 -0.00139038051282051 -0.0863295015487179 -0.0935351943680851 -0.20824726312381 -0.132289639939787 -0.0840757419318182 -0.0319391707644444 -0.139215894449375 -0.206180010039216 -0.139956270725 -0.238023266644444 -0.286012623205128 -0.871570456896552 -0.862120474482759 -0.846638698793103 -0.789522414172414 -0.729092282421053 -0.657571347912281 -0.142482047837209 -0.0887531033125 -0.0822959320625 -0.868412113103448 -0.870008607241379 -0.860248106896552 -0.817558592631579 -0.77005378862069 -0.752273339122807 -0.325070944 -0.300275975434783 -0.232782439659574 -0.910640521034483 -0.873718416206896 -0.610918357777778 -0.37404921687037 -0.541125547591837 -0.333643836344898 -0.284735381784314 -0.362891808947917 -0.418092601571154 -0.456200180085106 -0.462921646122449 -0.54153814984 3 "WALKING" 1
4 1 0.278582015166667 -0.0229547012141304 -0.08149350047 -0.36037815015 -0.21326656245102 -0.360380458241379 0.162101561757576 0.217099577333333 0.356550350361765 0.462240244820513 0.195118304714286 -0.0667817116829268 -0.104398944116279 -0.0698916723095238 0.0424924935771429 0.0269457134731707 -0.0623900346916667 -0.0151297481086957 0.132396500339474 0.174869755543333 0.172530996621622 0.134333721536111 0.119951930145952 -0.000361074302500005 0.0401020195263158 -0.148965902840909 -0.130400449111111 -0.091292592106383 -0.162000986975 -0.019049376105 -0.061295311275 -0.0215837052142857 0.0368465468378378 -0.0348016262857143 0.0244711847179487 0.000213187750000001 -0.0304662541162791 0.011211720625 0.0165482619414634 0.126776985238889 0.0703865557547619 -0.0507026739787234 -0.107693835340426 -0.15363323756 -0.201329410637931 -0.276889039561818 -0.0353973782682927 0.00869400166666667 -0.246424464317073 -0.923444803333333 -0.907878650166667 -0.902855928166667 -0.863954118833333 -0.815451577 -0.7537980705 -0.00932854940232558 -0.0845229756608696 -0.127432041040816 -0.917382076166667 -0.906373324 -0.905152582166667 -0.8650340835 -0.8400631905 -0.791127244333333 -0.179956760725 -0.1328867203125 -0.282060622847826 -0.923567836166667 -0.909775198666667 -0.61086995 -0.4685521802 -0.429458243125 -0.390703426763636 -0.32629563274 -0.345341948492157 -0.47933635928 -0.634097849058823 -0.516973519634615 -0.565582944909091 4 "WALKING" 1
5 1 0.27784234625 -0.0234852803778444 -0.0866031638017857 -0.257619860127273 -0.182758546757143 -0.010850804826087 0.0682213583513513 0.131323371945161 0.308762711794118 0.400736517685714 0.134693811377778 -0.186003144333333 0.0333787418139535 -0.110731895516591 -0.150734173085714 -0.20110386958 -0.295717683588235 -0.338133665058824 0.04728383955625 0.106494450294595 -0.0998573071113636 -0.174426714296053 -0.14022887805814 -0.273621520022449 -0.115383560767442 -0.105985771257447 -0.159709515878049 -0.172126161359184 -0.277909912387755 -0.321391815461224 -0.0154868886069767 -0.0973251966688095 -0.0543051681891892 -0.101751877752174 -0.0421850409825 -0.0475131770465116 -0.0921337295833333 -0.0362563362682927 -0.0484239986341463 -0.0607729172767442 -0.179934088392105 0.0249332949130435 -0.186106487722222 0.020073442873913 -0.1804017289075 -0.144382278918367 -0.366751626681818 -0.288719058595455 -0.182990686619048 -0.876683867321429 -0.875979529464286 -0.887463845178571 -0.883057688571429 -0.835451565892857 -0.852493320892857 -0.4121324 -0.343043871560976 -0.237549092833333 -0.867099290178571 -0.886441211607143 -0.894281947321429 -0.8571968925 -0.876713601964286 -0.818804069464286 -0.413062066078431 -0.3012699030625 -0.155765422653061 -0.857901284821429 -0.848181058214286 -0.731054008727273 -0.631401916909091 -0.676685951020408 -0.373341073882353 -0.504344803529412 -0.399690292188679 -0.393770098022 -0.490839777740741 -0.571530030880392 -0.4481629059 5 "WALKING" 1
6 1 0.283658868070175 -0.0276790803292683 -0.0778312717591228 -0.235964687175439 -0.302145565011765 0.162912370380952 -0.125930692105714 0.209118303243243 0.565489342064516 0.281582630954545 -0.0114586783428571 -0.15486571595122 0.0698001402294118 0.08047890345 0.037635039304878 -0.0430167123609756 -0.107529513081628 -0.155979028906522 0.0835629412585366 0.0295293219976191 -0.089052143560606 0.0791060868184211 -0.0521542921125 -0.148520268991837 0.00859115413095238 -0.031253421 -0.0533519823954545 -0.104462939867442 -0.180487506952174 -0.164635183186957 0.0647018511935484 0.0430253043136364 -0.221943398431373 -0.26710470093617 -0.143249931875 -0.185168000166667 -0.194740637441304 -0.103985685590909 -0.208771882998039 -0.274267497318 -0.201029659108696 -0.20654323984898 -0.255714714444444 -0.18997323624 -0.185453002772727 -0.117192815019608 -0.410422127788462 -0.45335956354902 -0.43663168254902 -0.738809205857143 -0.667193269333333 -0.690172284736842 -0.693131007508772 -0.674988019561404 -0.736973748089286 -0.37549539024898 -0.296489641671429 -0.40041556418 -0.753183036859649 -0.766909035263158 -0.777007098181818 -0.751861184998246 -0.751193979298246 -0.756220261403509 -0.564471164461538 -0.502237003243137 -0.508494951481481 -0.827473597894737 -0.821155624736842 -0.785088965438597 -0.693844765 -0.697414568070175 -0.560954803454545 -0.4830102857 -0.442819541686275 -0.35675821632 -0.339962844354167 -0.35693675054902 -0.355616566695349 6 "WALKING" 1
7 1 0.275592961754386 -0.0227493607877551 -0.0992370087385965 -0.286123740877193 -0.261085473914286 0.0510879401333333 -0.0256049752454545 0.0946616999043478 0.334492370833333 0.14651601042973 0.0741748795744681 -0.322210528695652 0.0807760155827586 -0.0615941251631579 -0.0480597541666667 -0.182479424134783 -0.143920040542308 -0.207893522163043 -0.037609660975 -0.00955230320909091 -0.0443498354 -0.13506176597561 -0.192573816277083 -0.258305427888462 0.049302731325 0.0242842555285714 0.0545614584047619 -0.0660889768692308 -0.113569244997917 -0.174287346607317 0.00890294198333334 -0.0490049173487179 -0.125660275580488 -0.148957513477778 -0.0106437738565217 -0.0780161890225 -0.165747622195652 -0.0885696359611111 -0.0671129865227273 -0.127095284147727 -0.068271016425641 -0.116693103634146 -0.133163719597556 -0.160163929937778 -0.0899868534594595 -0.001091767825 -0.247142167854545 -0.295637482777778 -0.16850976315641 -0.675886165054545 -0.671151892857143 -0.681969762 -0.664675254771429 -0.623137013824561 -0.661874330421053 -0.457997509041818 -0.42754047746 -0.249882492467347 -0.67788870545614 -0.696779014285714 -0.663278776666667 -0.736107608545455 -0.702606260245614 -0.710340115553571 -0.548115557207547 -0.493955315961538 -0.51275269792 -0.752905653571429 -0.772443910526316 -0.739958444303571 -0.752648525090909 -0.710320654375 -0.559442563537037 -0.512751667529412 -0.505708614075472 -0.457695437480392 -0.343911515295918 -0.356305816916667 -0.432383168644681 7 "WALKING" 1
8 1 0.27468631 -0.0354228386082857 -0.067446498706383 -0.164997173640426 -0.147489486 0.377593198787879 0.0392095995555556 0.0930333753807692 -0.0492687013969697 0.0653094089414634 -0.259913756405556 -0.204034412301925 -0.108079186771429 0.0206445809189189 -0.122862943454545 -0.0795655253611111 -0.15511087769697 -0.0620390728378378 0.0872476566814815 0.07568762028125 0.0751949698979487 -0.0548492224848485 0.0367946895714286 0.0027542667027027 0.0244421476451613 -0.0519059075333333 -0.1009175383125 -0.0329493530882353 -0.0682529107179487 -0.165412529047059 0.00633489272413793 0.0951704805925926 0.0102862725555556 -0.0852734053846154 -0.0357453969277778 -0.111019527410256 -0.0835226571 -0.133843908418919 -0.0541922437878788 -0.0598552065010811 -0.246913584261905 -0.258681099552632 -0.167372538297297 -0.163482532748649 -0.191154683314286 -0.1475071299375 -0.224455820864865 -0.290350608302778 -0.120104219628571 -0.658928150244444 -0.686171012666667 -0.733378460106383 -0.764173693702128 -0.757228927184783 -0.765211247434783 -0.530422424976744 -0.429979332785714 -0.487614597970455 -0.517186878422222 -0.538216118 -0.479176822533333 -0.614657678742045 -0.619638902545455 -0.592721330477273 -0.472177934886364 -0.486640681711111 -0.402471274785714 -0.711116504304348 -0.684022939148936 -0.7392959675 -0.78228219 -0.8042163825 -0.685247837021277 -0.575834541255319 -0.628981154840909 -0.5014176655 -0.48265505426087 -0.522440462156818 -0.401779324977778 8 "WALKING" 1
9 1 0.278502842115385 -0.0236477681544186 -0.0927194763084423 -0.207542925423077 -0.222807657557692 -0.0848137993346667 0.026752430383871 0.101239466514286 0.312173409785714 0.205738614659459 -0.0525363305030303 -0.180374248502326 0.0873228918064516 -0.10220362346875 -0.00745667951282051 -0.107003370344737 -0.047823972307381 -0.164229785460465 0.129299865640625 0.0845022914054054 0.06432424825 -0.0672718980282051 -0.10741037436 -0.121998097342857 -0.06504596925 -0.00590702246 -0.0173025550707317 -0.0988590896333333 -0.109691668794118 -0.122476252225 -0.0360245722285714 -0.0538729714146341 -0.0163320777894737 -0.0697601809261905 -0.0901834577432432 -0.0813408516682927 -0.037980428985 -0.0942345047146341 -0.0231454647105263 -0.18416339102381 -0.0459343710159091 -0.16884417372449 -0.207657782706122 -0.201434748181818 -0.19266609632549 -0.211664638633333 0.0210146155263158 -0.247503477586957 -0.344191857744186 -0.774712766346154 -0.764744725769231 -0.718915910588235 -0.722673403269231 -0.635835208846154 -0.590449714 -0.122382246486486 -0.169207818181818 -0.2991872919 -0.812644455769231 -0.820470434423077 -0.786351668076923 -0.77022817 -0.703125746923077 -0.660059326538462 -0.0599292914047619 -0.302037098354286 -0.270897485725 -0.894801139615385 -0.846212384423077 -0.493406624117647 -0.409405745434783 -0.486802789318182 -0.410601119133333 -0.336741974681818 -0.367047078159091 -0.372174530111111 -0.510304515326087 -0.503482499755556 -0.454940651659574 9 "WALKING" 1
10 1 0.278574076603774 -0.0211403335065217 -0.0930498962981132 -0.176840523588235 -0.140838177 -0.145400861285714 -0.121625824272727 0.11618686605 0.295867728153333 0.2384502543 0.13388534575 -0.218634109625 -0.113551994793939 -0.240866627105263 -0.0932969284212121 0.0850699209428571 -0.0107139205351351 -0.0322704749416667 0.099862245969697 0.089291571362069 -0.00323298672285714 0.0347742852727273 0.0312795276615385 -0.0967735707380952 0.14307949475 0.0284613325789474 0.0196769481212121 0.176085017931034 0.0724251267179487 0.000605821000000001 -0.00245138085 -0.0582396131078947 -0.116310529027778 -0.0388435699820513 -0.0667128046216216 -0.0224694523585366 -0.157617159941628 -0.138056713357895 -0.175587899673913 -0.2220942423 -0.31897521118 -0.137520749842105 -0.0469927752648649 -0.0727291230230769 -0.0553385699604167 -0.165905706774194 -0.221000025784444 -0.240008646441463 -0.179998551136364 -0.674522995058824 -0.686511907305769 -0.739998041509804 -0.762980086226415 -0.793403945098039 -0.7590707074 -0.459212583475 -0.3648644463 -0.325594461934783 -0.721721515490196 -0.698995428306122 -0.644581021306122 -0.681594094020833 -0.6248310049 -0.680534145714286 -0.472516297141176 -0.456131309510204 -0.438086890791667 -0.872623831509434 -0.868852736415094 -0.770827237169811 -0.708627249807692 -0.723102025745098 -0.430476130456522 -0.502650818354348 -0.435333601611628 -0.346885375761905 -0.189611450380952 -0.354313325571429 -0.357342397738095 10 "WALKING" 1
